#,Clinic,Division,District,Address,Latitude,Longitude,Source,Valid,OSM_ID
65,Pirgacha Community Clinic,Rajshahi,Bogura,Bogura,24.951415,89.398443,DGHS verified,Yes,11932467004
66,Soair Community Clinic,Rajshahi,Natore,Natore,24.575954,89.168594,DGHS verified,Yes,5200791625
67,Tarakandi Community Clinic,Rajshahi,Sirajganj,Sirajganj,24.686779,89.821883,DGHS verified,Yes,5080670401
68,আধাইপুর কমিউনিটি ক্লিনিক,Rajshahi,Joypurhat,Joypurhat,24.971484,88.932084,DGHS verified,Yes,10712041033
69,Al Barak Diagonestics,Rajshahi,Rajshahi,Rajshahi,24.372227,88.580564,Healthsites/OSM sourced,Yes,9589195174
70,"Alpha Clinic, Mohadevpur, Naogaon",Rajshahi,Naogaon,Naogaon,24.919634,88.751499,Healthsites/OSM sourced,Yes,10734183040
71,"Apollo Clinic,Muktir More, Naogaon",Rajshahi,Naogaon,Naogaon,24.816821,88.939473,Healthsites/OSM sourced,Yes,10765568387
72,Appolo Clinic,Rajshahi,Naogaon,Naogaon,24.817013,88.939235,Healthsites/OSM sourced,Yes,9772066086
73,Bengle City Scan,Rajshahi,Rajshahi,Rajshahi,24.372803,88.583166,Healthsites/OSM sourced,Yes,9587894869
74,Boikali Medical Center,Rajshahi,Rajshahi,Rajshahi,24.37222,88.582856,Healthsites/OSM sourced,Yes,9587894876
75,"Bonolota Diagonstic & Clinic, Dhaka - Natore Hwy, Natore",Rajshahi,Natore,Natore,24.412278,88.993973,Healthsites/OSM sourced,Yes,10839367934
76,Chuliyar Char Community Clinic,Rangpur,Gaibandha,Gaibandha,25.512712,89.849478,DGHS verified,Yes,591115532
77,Ezlamari Community Clinic,Rangpur,Kurigram,Kurigram,25.532937,89.836024,DGHS verified,Yes,591875225
78,Horihorpur Community Clinic,Rangpur,Dinajpur,Dinajpur,25.581809,88.641461,DGHS verified,Yes,9529812895
79,Kandapara community clinic,Rangpur,Kurigram,Kurigram,25.546408,89.805843,DGHS verified,Yes,591766591
80,Khonjon mara Community Clinic,Rangpur,Kurigram,Kurigram,25.589715,89.816633,DGHS verified,Yes,5645245569
81,South Tapurre Community Clinic,Rangpur,Kurigram,Kurigram,25.604737,89.833955,DGHS verified,Yes,5647913644
82,Uttar Chor Sajai Mandalpara Community Clinic ( উত্তর চর সাজাই মণ্ডলপাড়া কমিউনিটি ক্লিনিক ),Rangpur,Gaibandha,Gaibandha,25.509133,89.770237,DGHS verified,Yes,5647805559
83,datiyar char community clinic,Rangpur,Gaibandha,Gaibandha,25.534228,89.771878,DGHS verified,Yes,589403046
84,fulbari community clinic,Rangpur,Kurigram,Kurigram,25.53961,89.844991,DGHS verified,Yes,591123360
85,konachipara community clinic,Rangpur,Kurigram,Kurigram,25.544158,89.818547,DGHS verified,Yes,589573959
86,kutir char Community Clinic(কুটির চর ক্লিনিক ),Rangpur,Kurigram,Kurigram,25.575534,89.813431,DGHS verified,Yes,5644080042
87,দক্ষিণ বালাপাড়া কমিউনিটি ক্লিনিক,Rangpur,Nilphamari,Nilphamari,26.211433,88.906792,DGHS verified,Yes,5884640140
88,Bashna Community Clinic,Mymensingh,Mymensingh,"Foraji Bari Road, Mymensingh",24.713424,90.294617,DGHS verified,Yes,4388826037
89,Chowrata Bazar Community Clinic,Mymensingh,Jamalpur,"Ambaria Road, Dhanbari, Jamalpur",24.679383,89.987624,DGHS verified,Yes,758933586
90,Maizbag Community Clinic,Mymensingh,Mymensingh,"Laksmiganj, Mymensingh",24.630142,90.610839,DGHS verified,Yes,561589126
91,Ramchandrapur Community Clinic,Mymensingh,Mymensingh,Mymensingh,24.626833,90.573895,DGHS verified,Yes,6229464658
92,Al Raji Diagonostic center,Mymensingh,Netrokona,Netrokona,24.871,90.731833,Healthsites/OSM sourced,Yes,3559112805
93,Apollo Diagonostic Center,Mymensingh,Netrokona,Netrokona,24.869447,90.731576,Healthsites/OSM sourced,Yes,3559007759
94,City Digital Diagonostic Center,Mymensingh,Netrokona,Netrokona,24.879475,90.731236,Healthsites/OSM sourced,Yes,3561656512
95,Diagonostic Center,Mymensingh,Netrokona,Netrokona,24.87138,90.733855,Healthsites/OSM sourced,Yes,3558445435
96,Achanpur community clinic,Sylhet,Habiganj,Habiganj,24.712529,91.331599,DGHS verified,Yes,6281151376
97,Adittopur community clinic,Sylhet,Habiganj,Habiganj,24.631088,91.197883,DGHS verified,Yes,6125242925
98,Atgao community clinic,Sylhet,Sunamganj,Sunamganj,24.751351,91.186564,DGHS verified,Yes,6124500161
99,Community Clinic Puran Varanga,Sylhet,Sunamganj,Sunamganj,25.095174,91.251208,DGHS verified,Yes,5781372420
100,Kamarkandi Community Clinic,Sylhet,Sunamganj,Sunamganj,25.161508,91.174121,DGHS verified,Yes,5793761342
